"","ID","Traffic Volume Count Location  Address","Street","Date of Count","Total Passing Vehicle Volume","Vehicle Volume By Each Direction of Traffic","Location","geometry"
"183",921,"2737 West","Belmont Ave","10/16/2006",23800,"East Bound: 11900 / West Bound: 11900","(41.939398, -87.696701)",c(-87.696701, 41.939398)
"184",1175,"2222 South","Halsted St","10/24/2006",21900,"North Bound: 10800 / South Bound: 11100","(41.851922, -87.646473)",c(-87.646473, 41.851922)
"185",212,"1057 East","95th Street","03/22/2006",22000,"East Bound: 11500 / West Bound: 10500","(41.722153, -87.597339)",c(-87.597339, 41.722153)
"186",25,"1959 South","Damen Ave","03/02/2006",15300,"North Bound: 7700 / South Bound: 7600","(41.854926, -87.67592)",c(-87.67592, 41.854926)
"187",1236,"3210 South","Halsted St","10/26/2006",17600,"North Bound: 9200 / South Bound: 8400","(41.836075, -87.646231)",c(-87.646231, 41.836075)
"188",1347,"457 South","Financial PL","09/21/2006",2800,"North Bound: 2200 / South Bound: 600","(41.87559, -87.633082)",c(-87.633082, 41.87559)
"189",457,"1649 West","Foster Ave","08/22/2006",25600,"East Bound: 11600 / West Bound: 14000","(41.976144, -87.671622)",c(-87.671622, 41.976144)
"190",938,"4875 North","Kedzie Ave","08/16/2006",14300,"North Bound: 7300 / South Bound: 7000","(41.970273, -87.708529)",c(-87.708529, 41.970273)
"191",60,"7335 South","Jeffery Blvd","05/04/2006",24300,"North Bound: 11200 / South Bound: 13100","(41.761454, -87.576196)",c(-87.576196, 41.761454)
"192",1042,"310 West","31st St","10/19/2006",14300,"East Bound: 6900 / West Bound: 7400","(41.838197, -87.634579)",c(-87.634579, 41.838197)
"193",111,"1515 South","Clark St","03/22/2006",23000,"North Bound: 12700 / South Bound: 10300","(41.861478, -87.630255)",c(-87.630255, 41.861478)
"194",651,"3647 North","Oak Park Ave","10/25/2006",18800,"North Bound: 9600 / South Bound: 9200","(41.946811, -87.796043)",c(-87.796043, 41.946811)
"195",1090,"2029 West","Division St","10/18/2006",23700,"East Bound: 12100 / West Bound: 11600","(41.903168, -87.678437)",c(-87.678437, 41.903168)
"196",313,"813 West","Roosevelt Rd","04/25/2006",31600,"East Bound: 15300 / West Bound: 16300","(41.867145, -87.647525)",c(-87.647525, 41.867145)
"197",831,"45 West","31st St","10/18/2006",14100,"East Bound: 7600 / West Bound: 6500","(41.838279, -87.628571)",c(-87.628571, 41.838279)
"198",949,"3335 West","North Ave","10/16/2006",38600,"East Bound: 18100 / West Bound: 20500","(41.910066, -87.710829)",c(-87.710829, 41.910066)
"199",451,"51 West","Ontario St","09/26/2006",18400,"West Bound: 18400/ Oneway West Bound","(41.893244, -87.630017)",c(-87.630017, 41.893244)
"200",1204,"8044 South","Cicero Ave","10/23/2006",56800,"North Bound: 28400 / South Bound: 28400","(41.746457, -87.741218)",c(-87.741218, 41.746457)
"201",356,"6100 South","Cornell Dr","10/26/2006",43000,"North Bound: 23100 / South Bound: 19900","(41.782388, -87.584573)",c(-87.584573, 41.782388)
"202",174,"1908 West","76th Street","03/28/2006",8000,"East Bound: 3700 / West Bound: 4300","(41.755721, -87.671249)",c(-87.671249, 41.755721)
"203",253,"2307 West","35th St","03/30/2006",10200,"East Bound: 5300 / West Bound: 4900","(41.830303, -87.682868)",c(-87.682868, 41.830303)
"204",318,"140 East","26th St","03/28/2006",7800,"East Bound: 3700 / West Bound: 4100","(41.84566, -87.622137)",c(-87.622137, 41.84566)
"205",485,"8318 West","Addison St","08/14/2006",11100,"East Bound: 5400 / West Bound: 5700","(41.944804, -87.834785)",c(-87.834785, 41.944804)
"206",71,"3311 South","Michigan Ave","03/02/2006",8100,"South Bound: 8100/ Oneway South Bound","(41.834369, -87.623323)",c(-87.623323, 41.834369)
"207",345,"188 West","Polk St","05/02/2006",8900,"East Bound: 5100 / West Bound: 3800","(41.872155, -87.633321)",c(-87.633321, 41.872155)
"208",94,"2140 South","Archer Ave","03/08/2006",11800,"North Bound: 5200 / South Bound: 6600","(41.853553, -87.633392)",c(-87.633392, 41.853553)
"209",1189,"5508 West","55th St","10/31/2006",25400,"East Bound: 12200 / West Bound: 13200","(41.792767, -87.76029)",c(-87.76029, 41.792767)
"210",289,"2235 West","Cermak Rd","03/30/2006",13700,"East Bound: 7500 / West Bound: 6200","(41.852078, -87.682174)",c(-87.682174, 41.852078)
"211",1332,"299 North","La Salle St","09/21/2006",26900,"North Bound: 13800 / South Bound: 13100","(41.886928, -87.632484)",c(-87.632484, 41.886928)
"212",36,"3030 South","Dr Martin Luther King Jr Dr","03/14/2006",19900,"North Bound: 10000 / South Bound: 9900","(41.838419, -87.617465)",c(-87.617465, 41.838419)
"213",240,"7119 South","Racine Ave","03/28/2006",11100,"North Bound: 5400 / South Bound: 5700","(41.76448, -87.6541)",c(-87.6541, 41.76448)
"214",514,"3500 West","Grand Ave","10/23/2006",15700,"East Bound: 7900 / West Bound: 7800","(41.90103, -87.713491)",c(-87.713491, 41.90103)
"215",994,"5816 North","Ridge Ave","10/17/2006",43100,"North Bound: 20600 / South Bound: 22500","(41.987636, -87.666618)",c(-87.666618, 41.987636)
"216",531,"6780 West","Higgins Ave","08/22/2006",17500,"East Bound: 7600 / West Bound: 9900","(41.979107, -87.797633)",c(-87.797633, 41.979107)
"217",187,"2726 East","79th St","03/28/2006",11400,"East Bound: 5100 / West Bound: 6300","(41.751849, -87.557322)",c(-87.557322, 41.751849)
"218",815,"2350 West","119th St","08/24/2006",19900,"East Bound: 9300 / West Bound: 10600","(41.677257, -87.680696)",c(-87.680696, 41.677257)
"219",851,"2653 North","Austin Ave","10/25/2006",22200,"North Bound: 9700 / South Bound: 12500","(41.929097, -87.775895)",c(-87.775895, 41.929097)
"220",202,"920 East","87th Street","03/23/2006",19400,"East Bound: 9600 / West Bound: 9800","(41.736694, -87.601489)",c(-87.601489, 41.736694)
"221",635,"2825 North","Halsted St","10/16/2006",19500,"North Bound: 10300 / South Bound: 9200","(41.933425, -87.649035)",c(-87.649035, 41.933425)
"222",480,"3142 West","16th St","09/14/2006",2900,"East Bound: 1500 / West Bound: 1400","(41.859094, -87.704686)",c(-87.704686, 41.859094)
"223",1120,"600 West","Madison St","09/20/2006",17400,"West Bound: 17400/ Oneway West Bound","(41.881836, -87.642708)",c(-87.642708, 41.881836)
"224",1198,"6607 West","Archer Ave","09/12/2006",41600,"East Bound: 21500 / West Bound: 20100","(41.792242, -87.78702)",c(-87.78702, 41.792242)
"225",351,"460 South","Canal St","10/02/2006",15600,"North Bound: 10400 / South Bound: 5200","(41.875514, -87.639626)",c(-87.639626, 41.875514)
"226",408,"1425 West","Diversey Ave","08/10/2006",21700,"East Bound: 10400 / West Bound: 11300","(41.932463, -87.664643)",c(-87.664643, 41.932463)
"227",668,"3625 North","Ashland Ave","08/29/2006",32100,"North Bound: 15400 / South Bound: 16700","(41.947751, -87.668879)",c(-87.668879, 41.947751)
"228",235,"3538 South","Racine Ave","03/23/2006",2600,"North Bound: 1100 / South Bound: 1500","(41.829325, -87.655686)",c(-87.655686, 41.829325)
"229",693,"6445 North","Central Ave","08/15/2006",17500,"North Bound: 8800 / South Bound: 8700","(41.998732, -87.763298)",c(-87.763298, 41.998732)
"230",281,"1715 West","59th Street","03/28/2006",11700,"East Bound: 5900 / West Bound: 5800","(41.78671, -87.66752)",c(-87.66752, 41.78671)
"231",524,"2366 North","Central Ave","10/26/2006",20000,"North Bound: 9500 / South Bound: 10500","(41.92398, -87.765989)",c(-87.765989, 41.92398)
"232",1225,"1301 West","63rd St","10/11/2006",11300,"East Bound: 5800 / West Bound: 5500","(41.779574, -87.657079)",c(-87.657079, 41.779574)
"233",900,"5913 North","Lincoln Ave","10/17/2006",31600,"North Bound: 16600 / South Bound: 15000","(41.988587, -87.704352)",c(-87.704352, 41.988587)
"234",125,"8940 South","Vincennes Ave","03/21/2006",16300,"North Bound: 8800 / South Bound: 7500","(41.731171, -87.647028)",c(-87.647028, 41.731171)
"235",264,"1707 West","47th St","03/29/2006",18100,"East Bound: 9100 / West Bound: 9000","(41.808578, -87.667723)",c(-87.667723, 41.808578)
"236",143,"9750 South","Stony Island Ave","03/09/2006",43500,"North Bound: 22600 / South Bound: 20900","(41.71675, -87.585043)",c(-87.585043, 41.71675)
"237",553,"3233 West","Washington St","10/05/2006",8200,"West Bound: 8200/ Oneway West Bound","(41.882781, -87.707473)",c(-87.707473, 41.882781)
"238",1240,"3610 South","Morgan St","10/19/2006",6900,"North Bound: 2300 / South Bound: 4600","(41.828474, -87.65091)",c(-87.65091, 41.828474)
"239",1007,"725 South","Central Park Ave","10/12/2006",10700,"North Bound: 4600 / South Bound: 6100","(41.871785, -87.715588)",c(-87.715588, 41.871785)
"240",1097,"2312 West","Grand Ave","10/23/2006",18400,"East Bound: 9000 / West Bound: 9400","(41.890693, -87.684779)",c(-87.684779, 41.890693)
"241",380,"1550 South","Lake Shore Dr","04/05/2006",165200,"North Bound: 86200 / South Bound: 79000","(41.860562, -87.617934)",c(-87.617934, 41.860562)
"242",617,"1539 South","Pulaski Rd","09/12/2006",21700,"North Bound: 11600 / South Bound: 10100","(41.859508, -87.724975)",c(-87.724975, 41.859508)
"243",868,"4151 North","Cumberland Ave","08/17/2006",43900,"North Bound: 21200 / South Bound: 22700","(41.955399, -87.836687)",c(-87.836687, 41.955399)
"244",100,"1447 South","Ashland Ave","03/21/2006",38300,"North Bound: 19800 / South Bound: 18500","(41.861874, -87.666256)",c(-87.666256, 41.861874)
"245",385,"10452 South","Kedzie Ave","08/22/2006",22000,"North Bound: 11300 / South Bound: 10700","(41.702738, -87.701224)",c(-87.701224, 41.702738)
"246",1038,"5253 West","Roosevelt Rd","10/19/2006",21700,"East Bound: 10800 / West Bound: 10900","(41.865714, -87.759312)",c(-87.759312, 41.865714)
"247",1279,"121 West","107th St","08/29/2006",9100,"East Bound: 4600 / West Bound: 4500","(41.699831, -87.626661)",c(-87.626661, 41.699831)
"248",1133,"57 West","Ohio St","09/21/2006",32800,"East Bound: 32800 / / Oneway East Bound","(41.892439, -87.630272)",c(-87.630272, 41.892439)
"249",884,"2920 North","Harlem Ave","12/11/2006",23200,"North Bound: 11500 / South Bound: 11700","(41.933229, -87.806554)",c(-87.806554, 41.933229)
"250",974,"1804 North","Damen Ave","08/16/2006",16700,"North Bound: 8000 / South Bound: 8700","(41.914612, -87.677552)",c(-87.677552, 41.914612)
"251",519,"303 East","Chicago Ave","10/03/2006",11900,"East Bound: 6800 / West Bound: 5100","(41.896787, -87.620252)",c(-87.620252, 41.896787)
"252",647,"3280 North","Cumberland Ave","10/25/2006",37700,"North Bound: 19200 / South Bound: 18500","(41.939209, -87.836148)",c(-87.836148, 41.939209)
"253",1054,"755 North","Ashland Ave","10/26/2006",30500,"North Bound: 15800 / South Bound: 14700","(41.89604, -87.667289)",c(-87.667289, 41.89604)
"254",826,"4825 West","Lawrence Ave","08/10/2006",28900,"East Bound: 14000 / West Bound: 14900","(41.968013, -87.748871)",c(-87.748871, 41.968013)
"255",169,"1733 East","67th St","03/28/2006",10300,"East Bound: 4700 / West Bound: 5600","(41.773376, -87.582603)",c(-87.582603, 41.773376)
"256",1261,"6650 South","Jeffery Ave","09/06/2006",29200,"North Bound: 14600 / South Bound: 14600","(41.774091, -87.57604)",c(-87.57604, 41.774091)
"257",431,"2703 West","Cermak Rd","09/14/2006",14200,"East Bound: 7600 / West Bound: 6600","(41.851933, -87.693114)",c(-87.693114, 41.851933)
"258",737,"633 North","Wells St","09/20/2006",9400,"South Bound: 9400/ Oneway South Bound","(41.89337, -87.634114)",c(-87.634114, 41.89337)
"259",309,"340 West","Pershing Rd","04/25/2006",15400,"East Bound: 7800 / West Bound: 7600","(41.823602, -87.634859)",c(-87.634859, 41.823602)
"260",1312,"710 West","87th  St","12/20/2006",32500,"East Bound: 15800 / West Bound: 16700","(41.736141, -87.642399)",c(-87.642399, 41.736141)
"261",75,"9642 South","Michigan Ave","03/15/2006",8100,"North Bound: 3600 / South Bound: 4500","(41.718658, -87.620521)",c(-87.620521, 41.718658)
"262",679,"4853 North","Nagle Ave","08/22/2006",22700,"North Bound: 11300 / South Bound: 11400","(41.970016, -87.787986)",c(-87.787986, 41.970016)
"263",945,"2761 North","Milwaukee Ave","08/23/2006",18100,"North Bound: 7900 / South Bound: 10200","(41.931324, -87.711125)",c(-87.711125, 41.931324)
"264",743,"180 North","Wabash Ave","11/07/2006",8200,"South Bound: 8200/ Oneway South Bound","(41.88535, -87.626269)",c(-87.626269, 41.88535)
"265",791,"465 North","Desplaines St","10/02/2006",4500,"North Bound: 2000 / South Bound: 2500","(41.891012, -87.644365)",c(-87.644365, 41.891012)
"266",245,"68 West","18th St","04/26/2006",8100,"East Bound: 3900 / West Bound: 4200","(41.857869, -87.624476)",c(-87.624476, 41.857869)
"267",322,"1171 West","74th St","03/28/2006",10100,"East Bound: 4900 / West Bound: 5200","(41.759597, -87.653971)",c(-87.653971, 41.759597)
"268",1027,"5212 West","Harrison St","11/15/2006",6500,"East Bound: 3300 / West Bound: 3200","(41.872939, -87.755447)",c(-87.755447, 41.872939)
"269",934,"3130 West","Fullerton Ave","11/14/2006",30400,"East Bound: 15200 / West Bound: 15200","(41.924726, -87.705876)",c(-87.705876, 41.924726)
"270",1158,"444 North","Wabash Ave","09/19/2006",8800,"North Bound: 2800 / South Bound: 6000","(41.890636, -87.626681)",c(-87.626681, 41.890636)
"271",490,"2314 West","Peterson Ave","08/22/2006",44000,"East Bound: 22900 / West Bound: 21100","(41.990529, -87.687864)",c(-87.687864, 41.990529)
"272",1208,"660 West","Grand Ave","09/21/2006",19000,"East Bound: 8400 / West Bound: 10600","(41.891218, -87.645288)",c(-87.645288, 41.891218)
"273",154,"2701 East","100th St","05/04/2006",11000,"East Bound: 5400 / West Bound: 5600","(41.713352, -87.558074)",c(-87.558074, 41.713352)
"274",836,"10 East","Grand Ave","11/07/2006",20100,"West Bound: 20100/ Oneway West Bound","(41.891676, -87.627665)",c(-87.627665, 41.891676)
"275",430,"2738 West","47th St","08/10/2006",23700,"East Bound: 12000 / West Bound: 11700","(41.808295, -87.693288)",c(-87.693288, 41.808295)
"276",107,"8140 South","Ashland Ave","03/14/2006",26300,"North Bound: 13600 / South Bound: 12700","(41.745469, -87.663314)",c(-87.663314, 41.745469)
"277",155,"3250 East","100th St","05/04/2006",12800,"East Bound: 7300 / West Bound: 5500","(41.713772, -87.54362)",c(-87.54362, 41.713772)
"278",708,"549 North","Milwaukee Ave","10/24/2006",11100,"North Bound: 5100 / South Bound: 6000","(41.892395, -87.64944)",c(-87.64944, 41.892395)
"279",1072,"1101 South","Clark St","09/21/2006",25800,"North Bound: 14300 / South Bound: 11500","(41.869119, -87.630476)",c(-87.630476, 41.869119)
"280",446,"4517 West","North Ave","10/18/2006",34900,"East Bound: 16500 / West Bound: 18400","(41.909705, -87.739646)",c(-87.739646, 41.909705)
"281",1061,"536 North","Central Park Ave","11/13/2006",7600,"North Bound: 4500 / South Bound: 3100","(41.891097, -87.716199)",c(-87.716199, 41.891097)
"282",137,"7521 South","Western Ave","03/14/2006",27300,"North Bound: 14100 / South Bound: 13200","(41.756743, -87.683025)",c(-87.683025, 41.756743)
"283",269,"1706 West","51st Street","03/29/2006",9600,"East Bound: 4400 / West Bound: 5200","(41.801293, -87.667538)",c(-87.667538, 41.801293)
"284",464,"10 West","Lake St","10/02/2006",13700,"East Bound: 13700 / / Oneway East Bound","(41.885747, -87.628288)",c(-87.628288, 41.885747)
"285",1298,"1916 East","95th St","09/06/2006",36100,"East Bound: 17600 / West Bound: 18500","(41.722445, -87.577141)",c(-87.577141, 41.722445)
"286",3,"1275 West","71st Street","02/28/2006",16500,"East Bound: 7800 / West Bound: 8700","(41.765008, -87.657067)",c(-87.657067, 41.765008)
"287",1193,"2600 West","63rd St","08/15/2006",19100,"East Bound: 9800 / West Bound: 9300","(41.779187, -87.688569)",c(-87.688569, 41.779187)
"288",1342,"462 West","Van Buren St","09/20/2006",10200,"West Bound: 10200/ Oneway West Bound","(41.876771, -87.639623)",c(-87.639623, 41.876771)
"289",293,"415 West","Cermak Rd","05/08/2006",12300,"East Bound: 5200 / West Bound: 7100","(41.852812, -87.637573)",c(-87.637573, 41.852812)
"290",917,"4459 West","Armitage Ave","08/10/2006",17200,"East Bound: 8400 / West Bound: 8800","(41.917017, -87.73874)",c(-87.73874, 41.917017)
"291",546,"603 West","Monroe St","09/20/2006",13800,"East Bound: 13800 / / Oneway East Bound","(41.880547, -87.642755)",c(-87.642755, 41.880547)
"292",566,"155 West","Grand Ave","11/07/2006",14200,"West Bound: 14200/ Oneway West Bound","(41.891595, -87.633278)",c(-87.633278, 41.891595)
"293",341,"1219 South","Jefferson St","03/28/2006",4800,"North Bound: 2600 / South Bound: 2200","(41.866652, -87.64217)",c(-87.64217, 41.866652)
"294",90,"2130 South","Wentworth Ave","03/07/2006",4500,"North Bound: 2300 / South Bound: 2200","(41.853156, -87.631785)",c(-87.631785, 41.853156)
"295",230,"6732 South","Loomis St","03/09/2006",5900,"North Bound: 2700 / South Bound: 3200","(41.77126, -87.659138)",c(-87.659138, 41.77126)
"296",336,"1739 West","Harrison St","03/28/2006",10600,"East Bound: 4800 / West Bound: 5800","(41.874122, -87.670619)",c(-87.670619, 41.874122)
"297",1161,"250 South","Wacker Dr","09/19/2006",14700,"North Bound: 7600 / South Bound: 7100","(41.878077, -87.636914)",c(-87.636914, 41.878077)
"298",321,"771 East","60th St","03/28/2006",2900,"East Bound: 1600 / West Bound: 1300","(41.785874, -87.606038)",c(-87.606038, 41.785874)
"299",1303,"8800 South","Macknaw Ave","10/18/2006",13000,"North Bound: 6700 / South Bound: 6300","(41.735654, -87.543033)",c(-87.543033, 41.735654)
"300",258,"521 East","35th St","05/09/2006",9600,"East Bound: 4000 / West Bound: 5600","(41.831199, -87.613631)",c(-87.613631, 41.831199)
"301",489,"3318 West","Peterson Ave","08/22/2006",38300,"East Bound: 20300 / West Bound: 18000","(41.990343, -87.71242)",c(-87.71242, 41.990343)
"302",10,"8539 South","Commercial Ave","03/07/2006",10000,"North Bound: 5000 / South Bound: 5000","(41.739836, -87.551476)",c(-87.551476, 41.739836)
"303",990,"1758 West","Montrose Ave","10/31/2006",16800,"East Bound: 7300 / West Bound: 9500","(41.961538, -87.673156)",c(-87.673156, 41.961538)
"304",274,"718 East","51st St","04/27/2006",9100,"East Bound: 4200 / West Bound: 4900","(41.80222, -87.608065)",c(-87.608065, 41.80222)
"305",74,"5352 South","Michigan Ave","03/02/2006",7900,"South Bound: 7900/ Oneway South Bound","(41.796652, -87.622518)",c(-87.622518, 41.796652)
"306",412,"5862 West","Jackson Blvd","11/14/2006",9800,"East Bound: 4100 / West Bound: 5700","(41.877113, -87.77081)",c(-87.77081, 41.877113)
"307",138,"8941 South","Western Ave","03/14/2006",30800,"North Bound: 15000 / South Bound: 15800","(41.730457, -87.682356)",c(-87.682356, 41.730457)
"308",551,"2825 West","31st St","09/14/2006",17700,"East Bound: 8800 / West Bound: 8900","(41.837394, -87.696)",c(-87.696, 41.837394)
"309",1012,"3935 West","Washington St","11/15/2006",16300,"East Bound: 8300 / West Bound: 8000","(41.881907, -87.724652)",c(-87.724652, 41.881907)
"310",476,"4630 West","55th St","09/12/2006",23300,"East Bound: 12100 / West Bound: 11200","(41.793061, -87.739172)",c(-87.739172, 41.793061)
"311",727,"1928 North","Oak Park Ave","10/25/2006",13000,"North Bound: 6500 / South Bound: 6500","(41.915365, -87.794984)",c(-87.794984, 41.915365)
